Name,Survived,Class,Sex,Age,Family_Members_Aboard,Fare
Miss. Amelie Icard,Yes,1,female,38,0,80
Mr. Henry Birkhardt Harris,No,1,male,45,1,83.475
Master. Harald Skoog,No,3,male,4,5,27.9
Mr. Albert A Stewart,No,1,male,64,0,27.7208
Master. Gerios Moubarek,Yes,3,male,7,2,15.2458
Mrs. (Elizabeth Ramell) Nye,Yes,2,female,29,0,10.5
Mr. Ernest James Crease,No,3,male,19,0,8.1583
Miss. Erna Alexandra Andersson,Yes,3,female,17,6,7.925
Mr. Vincenz Kink,No,3,male,26,2,8.6625
Mr. Stephen Curnow Jenkin,No,2,male,32,0,10.5
Miss. Lillian Amy Goodwin,No,3,female,16,7,46.9
Mr. Ambrose Jr Hood,No,2,male,21,0,73.5
Mr. Apostolos Chronopoulos,No,3,male,26,1,14.4542
Mr. Lee Bing,Yes,3,male,32,0,56.4958
Mr. Sigurd Hansen Moen,No,3,male,25,0,7.65
Mr. Ivan Staneff,No,3,male,23,0,7.8958
Mr. Rahamin Haim Moutal,No,3,male,28,0,8.05
Master. Alden Gates Caldwell,Yes,2,male,0.83,2,29
Miss. Elizabeth Dowdell,Yes,3,female,30,0,12.475
Mr. Achille Waelens,No,3,male,22,0,9
Mr. Jan Baptist Sheerlinck,Yes,3,male,29,0,9.5
Miss. Brigdet Delia McDermott,Yes,3,female,31,0,7.7875
Mr. Francisco M Carrau,No,1,male,28,0,47.1
Miss. Bertha Ilett,Yes,2,female,17,0,10.5
Mrs. Karl Alfred (Maria Mathilda Gustafsson) Backstrom,Yes,3,female,33,3,15.85
Mr. William Neal Ford,No,3,male,16,4,34.375
Mr. Selman Francis Slocovski,No,3,male,20,0,8.05
Miss. Mabel Helen Fortune,Yes,1,female,23,5,263
Mr. Francesco Celotti,No,3,male,24,0,8.05
Mr. Emil Christmann,No,3,male,29,0,8.05
Mr. Paul Edvin Andreasson,No,3,male,20,0,7.8542
Mr. Herbert Fuller Chaffee,No,1,male,46,1,61.175
Mr. Bertram Frank Dean,No,3,male,26,3,20.575
Mr. Daniel Coxon,No,3,male,59,0,7.25
Mr. Charles Joseph Shorney,No,3,male,22,0,8.05
Mr. George B Goldschmidt,No,1,male,71,0,34.6542
Mr. William Bertram Greenfield,Yes,1,male,23,1,63.3583
Mrs. John T (Ada Julia Bone) Doling,Yes,2,female,34,1,23
Mr. Sinai Kantor,No,2,male,34,1,26
Miss. Matilda Petranec,No,3,female,28,0,7.8958
Mr. Pastcho Petroff,No,3,male,29,0,7.8958
Mr. Richard Frasar White,No,1,male,21,1,77.2875
Mr. Gustaf Joel Johansson,No,3,male,33,0,8.6542
Mr. Anders Vilhelm Gustafsson,No,3,male,37,2,7.925
Mr. Stoytcho Mionoff,No,3,male,28,0,7.8958
Miss. Anna Kristine Salkjelsvik,Yes,3,female,21,0,7.65
Mr. Albert Johan Moss,Yes,3,male,29,0,7.775
Mr. Tido Rekic,No,3,male,38,0,7.8958
Miss. Bertha Moran,Yes,3,female,28,1,24.15
Mr. Walter Chamberlain Porter,No,1,male,47,0,52
Miss. Hileni Zabour,No,3,female,14.5,1,14.4542
Mr. David John Barton,No,3,male,22,0,8.05
Miss. Katriina Jussila,No,3,female,20,1,9.825
Miss. Malake Attalah,No,3,female,17,0,14.4583
Mr. Edvard Pekoniemi,No,3,male,21,0,7.925
Mr. Patrick Connors,No,3,male,70.5,0,7.75
Mr. William John Robert Turpin,No,2,male,29,1,21
Mr. Quigg Edmond Baxter,No,1,male,24,1,247.5208
Miss. Ellis Anna Maria Andersson,No,3,female,2,6,31.275
Mr. Stanley George Hickman,No,2,male,21,2,73.5
Mr. Leonard Charles Moore,No,3,male,19,0,8.05
Mr. Nicholas Nasser,No,2,male,32.5,1,30.0708
Miss. Susan Webber,Yes,2,female,32.5,0,13
Mr. Percival Wayland White,No,1,male,54,1,77.2875
Master. Elias Nicola-Yarred,Yes,3,male,12,1,11.2417
Mr. Martin McMahon,No,3,male,19,0,7.75
Mr. Fridtjof Arne Madsen,Yes,3,male,24,0,7.1417
Miss. Anna Peter,Yes,3,female,2,2,22.3583
Mr. Johan Ekstrom,No,3,male,45,0,6.975
Mr. Jozef Drazenoic,No,3,male,33,0,7.8958
Mr. Domingos Fernandeo Coelho,No,3,male,20,0,7.05
Mrs. Alexander A (Grace Charity Laury) Robins,No,3,female,47,1,14.5
Mrs. Leopold (Mathilde Francoise Pede) Weisz,Yes,2,female,29,1,26
Mr. Samuel James Hayden Sobey,No,2,male,25,0,13
Mr. Emile Richard,No,2,male,23,0,15.0458
Miss. Helen Monypeny Newsom,Yes,1,female,19,2,26.2833
Mr. Jacques Heath Futrelle,No,1,male,37,1,53.1
Mr. Olaf Elon Osen,No,3,male,16,0,9.2167
Mr. Victor Giglio,No,1,male,24,0,79.2
Mrs. Joseph (Sultana) Boulos,No,3,female,40,2,15.2458
Miss. Anna Sofia Nysten,Yes,3,female,22,0,7.75
Mrs. Pekka Pietari (Elin Matilda Dolck) Hakkarainen,Yes,3,female,24,1,15.85
Mr. Jeremiah Burke,No,3,male,19,0,6.75
Mr. Edgardo Samuel Andrew,No,2,male,18,0,11.5
Mr. Joseph Charles Nicholls,No,2,male,19,2,36.75
Mr. August Edvard Andersson,Yes,3,male,27,0,7.7958
Miss. Robina Maggie Ford,No,3,female,9,4,34.375
Mr. Michel Navratil,No,2,male,36.5,2,26
Rev. Thomas Roussel Davids Byles,No,2,male,42,0,13
Rev. Robert James Bateman,No,2,male,51,0,12.525
Mrs. Thomas (Edith Wearne) Pears,Yes,1,female,22,1,66.6
Mr. Alfonzo Meo,No,3,male,55.5,0,8.05
Mr. Austin Blyler van Billiard,No,3,male,40.5,2,14.5
Mr. Ole Martin Olsen,No,3,male,27,0,7.3125
Mr. Charles Duane Williams,No,1,male,51,1,61.3792
Miss. Katherine Gilnagh,Yes,3,female,16,0,7.7333
Mr. Harry Corn,No,3,male,30,0,8.05
Mr. Mile Smiljanic,No,3,male,37,0,8.6625
Master. Thomas Henry Sage,No,3,male,5,10,69.55
Mr. John Hatfield Cribb,No,3,male,44,1,16.1
Mrs. James (Elizabeth Inglis Milne) Watt,Yes,2,female,40,0,15.75
Mr. John Viktor Bengtsson,No,3,male,26,0,7.775
Mr. Jovo Calic,No,3,male,17,0,8.6625
Master. Eino Viljami Panula,No,3,male,1,5,39.6875
Master. Frank John William Goldsmith,Yes,3,male,9,2,20.525
Mrs. (Edith Martha Bowerman) Chibnall,Yes,1,female,48,1,55
Mrs. William (Anna Bernhardina Karlsson) Skoog,No,3,female,45,5,27.9
Mr. John D Baumann,No,1,male,60,0,25.925
Mr. Lee Ling,No,3,male,28,0,56.4958
Mr. Wyckoff Van der hoef,No,1,male,61,0,33.5
Master. Arthur Rice,No,3,male,4,5,29.125
Miss. Eleanor Ileen Johnson,Yes,3,female,1,2,11.1333
Mr. Antti Wilhelm Sivola,No,3,male,21,0,7.925
Mr. James Clinch Smith,No,1,male,56,0,30.6958
Mr. Klas Albin Klasen,No,3,male,18,2,7.8542
Master. Henry Forbes Lefebre,No,3,male,5,4,25.4667
Miss. Ann Elizabeth Isham,No,1,female,50,0,28.7125
Mr. Reginald Hale,No,2,male,30,0,13
Mr. Lionel Leonard,No,3,male,36,0,0
Miss. Constance Gladys Sage,No,3,female,8,10,69.55
Mr. Rene Pernot,No,2,male,39,0,15.05
Master. Clarence Gustaf Hugo Asplund,No,3,male,9,6,31.3875
Master. Richard F Becker,Yes,2,male,1,3,39
Miss. Luise Gretchen Kink-Heilmann,Yes,3,female,4,2,22.025
Mr. Hugh Roscoe Rood,No,1,male,39,0,50
Mrs. Thomas (Johanna Godfrey) O'Brien,Yes,3,female,26,1,15.5
Mr. Charles Hallace Romaine,Yes,1,male,45,0,26.55
Mr. John Bourke,No,3,male,40,2,15.5
Mr. Stjepan Turcin,No,3,male,36,0,7.8958
Mrs. (Rosa) Pinsky,Yes,2,female,32,0,13
Mr. William Carbines,No,2,male,19,0,13
Miss. Carla Christine Nielsine Andersen-Jensen,Yes,3,female,19,1,7.8542
Master. Michel M Navratil,Yes,2,male,3,2,26
Mrs. James Joseph (Margaret Tobin) Brown,Yes,1,female,44,0,27.7208
Miss. Elise Lurette,Yes,1,female,58,0,146.5208
Mr. Robert Mernagh,No,3,male,28,0,7.75
Mr. Karl Siegwart Andreas Olsen,No,3,male,42,1,8.4042
Miss. Margaret Madigan,Yes,3,female,21,0,7.75
Miss. Henriette Yrois,No,2,female,24,0,13
Mr. Nestor Cyriel Vande Walle,No,3,male,28,0,9.5
Mr. Frederick Sage,No,3,male,17,10,69.55
Mr. Jakob Alfred Johanson,No,3,male,34,0,6.4958
Mr. Gerious Youseff,No,3,male,45.5,0,7.225
Mr. Gurshon Cohen,Yes,3,male,18,0,8.05
Miss. Telma Matilda Strom,No,3,female,2,1,10.4625
Mr. Karl Alfred Backstrom,No,3,male,32,1,15.85
Mr. Nassef Cassem Albimona,Yes,3,male,26,0,18.7875
Miss. Helen Carr,Yes,3,female,16,0,7.75
Mr. Henry Blank,Yes,1,male,40,0,31
Mr. Ahmed Ali,No,3,male,24,0,7.05
Miss. Clear Annie Cameron,Yes,2,female,35,0,21
Mr. John Henry Perkin,No,3,male,22,0,7.25
Mr. Hans Kristensen Givard,No,2,male,30,0,13
Mr. Philip Kiernan,No,3,male,22,1,7.75
Miss. Madeleine Newell,Yes,1,female,31,1,113.275
Miss. Eliina Honkanen,Yes,3,female,27,0,7.925
Mr. Sidney Samuel Jacobsohn,No,2,male,42,1,27
Miss. Albina Bazzani,Yes,1,female,32,0,76.2917
Mr. Walter Harris,No,2,male,30,0,10.5
Mr. Victor Francis Sunderland,Yes,3,male,16,0,8.05
Mr. James H Bracken,No,2,male,27,0,13
Mr. George Henry Green,No,3,male,51,0,8.05
Mr. Christo Nenkoff,No,3,male,22,0,7.8958
Mr. Frederick Maxfield Hoyt,Yes,1,male,38,1,90
Mr. Karl Ivar Sven Berglund,No,3,male,22,0,9.35
Mr. William John Mellors,Yes,2,male,19,0,10.5
Mr. John Hall Lovell,No,3,male,20.5,0,7.25
Mr. Arne Jonas Fahlstrom,No,2,male,18,0,13
Miss. Mathilde Lefebre,No,3,female,12,4,25.4667
Mrs. Henry Birkhardt (Irene Wallach) Harris,Yes,1,female,35,1,83.475
Mr. Bengt Edvin Larsson,No,3,male,29,0,7.775
Mr. Ernst Adolf Sjostedt,No,2,male,59,0,13.5
Miss. Lillian Gertrud Asplund,Yes,3,female,5,6,31.3875
Mr. Robert William Norman Leyson,No,2,male,24,0,10.5
Miss. Alice Phoebe Harknett,No,3,female,21,0,7.55
Mr. Stephen Hold,No,2,male,44,1,26
Miss. Marjorie Collyer,Yes,2,female,8,2,26.25
Mr. Frederick William Pengelly,No,2,male,19,0,10.5
Mr. George Henry Hunt,No,2,male,33,0,12.275
Miss. Thamine Zabour,No,3,female,19,1,14.4542
Miss. Katherine Murphy,Yes,3,female,18,1,15.5
Mr. Reginald Charles Coleridge,No,2,male,29,0,10.5
Mr. Matti Alexanteri Maenpaa,No,3,male,22,0,7.125
Mr. Sleiman Attalah,No,3,male,30,0,7.225
Dr. William Edward Minahan,No,1,male,44,2,90
Miss. Agda Thorilda Viktoria Lindahl,No,3,female,25,0,7.775
Mrs. William (Anna) Hamalainen,Yes,2,female,24,2,14.5
Mr. Richard Leonard Beckwith,Yes,1,male,37,2,52.5542
Rev. Ernest Courtenay Carter,No,2,male,54,1,26
Mr. James George Reed,No,3,male,18,0,7.25
Mrs. Wilhelm (Elna Matilda Persson) Strom,No,3,female,29,2,10.4625
Mr. William Thomas Stead,No,1,male,62,0,26.55
Mr. William Arthur Lobb,No,3,male,30,1,16.1
Mrs. Viktor (Helena Wilhelmina) Rosblom,No,3,female,41,2,20.2125
Mrs. Darwis (Hanne Youssef Razi) Touma,Yes,3,female,29,2,15.2458
Mrs. Gertrude Maybelle Thorne,Yes,1,female,38,0,79.2
Miss. Gladys Cherry,Yes,1,female,30,0,86.5
Miss. Anna Ward,Yes,1,female,35,0,512.3292
Mrs. (Lutie Davis) Parrish,Yes,2,female,50,1,26
Master. Edvin Rojj Felix Asplund,Yes,3,male,3,6,31.3875
Mr. Emil Taussig,No,1,male,52,2,79.65
Mr. William Harrison,No,1,male,40,0,0
Miss. Delia Henry,No,3,female,21,0,7.75
Mr. David Reeves,No,2,male,36,0,10.5
Mr. Ernesti Arvid Panula,No,3,male,16,5,39.6875
Mr. Ernst Ulrik Persson,Yes,3,male,25,1,7.775
Mrs. William Thompson (Edith Junkins) Graham,Yes,1,female,58,1,153.4625
Miss. Amelia Bissette,Yes,1,female,35,0,135.6333
Mr. Alexander Cairns,No,1,male,28,0,31
Mr. William Henry Tornquist,Yes,3,male,25,0,0
Mrs. (Elizabeth Anne Maidment) Mellinger,Yes,2,female,41,1,19.5
Mr. Charles H Natsch,No,1,male,37,1,29.7
Miss. Hanora Healy,Yes,3,female,33,0,7.75
Miss. Kornelia Theodosia Andrews,Yes,1,female,63,1,77.9583
Miss. Augusta Charlotta Lindblom,No,3,female,45,0,7.75
Mr. Francis Parkes,No,2,male,21,0,0
Master. Eric Rice,No,3,male,7,5,29.125
Mrs. Stanton (Rosa Hunt) Abbott,Yes,3,female,35,2,20.25
Mr. Frank Duane,No,3,male,65,0,7.75
Mr. Nils Johan Goransson Olsson,No,3,male,28,0,7.8542
Mr. Alfons de Pelsmaeker,No,3,male,16,0,9.5
Mr. Edward Arthur Dorking,Yes,3,male,19,0,8.05
Mr. Richard William Smith,No,1,male,57,0,26
Mr. Ivan Stankovic,No,3,male,33,0,8.6625
Mr. Theodore de Mulder,Yes,3,male,30,0,9.5
Mr. Penko Naidenoff,No,3,male,22,0,7.8958
Mr. Masabumi Hosono,Yes,2,male,42,0,13
Miss. Kate Connolly,Yes,3,female,22,0,7.75
Miss. Ellen Barber,Yes,1,female,26,0,78.85
Mrs. Dickinson H (Helen Walton) Bishop,Yes,1,female,19,1,91.0792
Mr. Rene Jacques Levy,No,2,male,36,0,12.875
Miss. Aloisia Haas,No,3,female,24,0,8.85
Mr. Ivan Mineff,No,3,male,24,0,7.8958
Mr. Ervin G Lewy,No,1,male,30,0,27.7208
Mr. Mansour Hanna,No,3,male,23.5,0,7.2292
Miss. Helen Loraine Allison,No,1,female,2,3,151.55
Mr. Adolphe Saalfeld,Yes,1,male,47,0,30.5
Mrs. James (Helene DeLaudeniere Chaput) Baxter,Yes,1,female,50,1,247.5208
Miss. Anna Katherine Kelly,Yes,3,female,20,0,7.75
Mr. Bernard McCoy,Yes,3,male,24,2,23.25
Mr. William Cahoone Jr Johnson,No,3,male,19,0,0
Miss. Nora A Keane,Yes,2,female,46,0,12.35
Mr. Howard Hugh Williams,No,3,male,28,0,8.05
Master. Hudson Trevor Allison,Yes,1,male,0.92,3,151.55
Miss. Margaret Fleming,Yes,1,female,42,0,110.8833
Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo) Penasco y Castellana,Yes,1,female,17,1,108.9
Mr. Samuel Abelson,No,2,male,30,1,24
Miss. Laura Mabel Francatelli,Yes,1,female,30,0,56.9292
Miss. Margaret Bechstein Hays,Yes,1,female,24,0,83.1583
Miss. Emily Borie Ryerson,Yes,1,female,18,4,262.375
Mrs. William (Anna Sylfven) Lahtinen,No,2,female,26,2,26
Mr. Ignjac Hendekovic,No,3,male,28,0,7.8958
Mr. Benjamin Hart,No,2,male,43,2,26.25
Miss. Helmina Josefina Nilsson,Yes,3,female,26,0,7.8542
Mrs. Sinai (Miriam Sternin) Kantor,Yes,2,female,24,1,26
Dr. Ernest Moraweck,No,2,male,54,0,14
Miss. Mary Natalie Wick,Yes,1,female,31,2,164.8667
Mrs. Frederic Oakley (Margaretta Corning Stone) Spedden,Yes,1,female,40,2,134.5
Mr. Samuel Dennis,No,3,male,22,0,7.25
Mr. Yoto Danoff,No,3,male,27,0,7.8958
Miss. Hilda Mary Slayter,Yes,2,female,30,0,12.35
Mrs. Albert Francis (Sylvia Mae Harbaugh) Caldwell,Yes,2,female,22,2,29
Mr. George John Jr Sage,No,3,male,20,10,69.55
Miss. Marie Grice Young,Yes,1,female,36,0,135.6333
Mr. Johan Hansen Nysveen,No,3,male,61,0,6.2375
Mrs. (Ada E Hall) Ball,Yes,2,female,36,0,13
Mrs. Frank John (Emily Alice Brown) Goldsmith,Yes,3,female,31,2,20.525
Miss. Jean Gertrude Hippach,Yes,1,female,16,1,57.9792
Miss. Agnes McCoy,Yes,3,female,28,2,23.25
Mr. Austen Partner,No,1,male,45.5,0,28.5
Mr. George Edward Graham,No,1,male,38,1,153.4625
Mr. Leo Edmondus Vander Planke,No,3,male,16,2,18
Mrs. Henry William (Clara Heinsheimer) Frauenthal,Yes,1,female,42,1,133.65
Mr. Mitto Denkoff,No,3,male,30,0,7.8958
Mr. Thomas Clinton Pears,No,1,male,29,1,66.6
Miss. Elizabeth Margaret Burns,Yes,1,female,41,0,134.5
Mr. Karl Edwart Dahl,Yes,3,male,45,0,8.05
Mr. Stephen Weart Blackwell,No,1,male,45,0,35.5
Master. Edmond Roger Navratil,Yes,2,male,2,2,26
Miss. Alice Elizabeth Fortune,Yes,1,female,24,5,263
Mr. Erik Gustaf Collander,No,2,male,28,0,13
Mr. Charles Frederick Waddington Sedgwick,No,2,male,25,0,13
Mr. Stanley Hubert Fox,No,2,male,36,0,13
Miss. Amelia Brown,Yes,2,female,24,0,13
Miss. Marion Elsie Smith,Yes,2,female,40,0,13
Mrs. Thomas Henry (Mary E Finck) Davison,Yes,3,female,34,1,16.1
Master. William Loch Coutts,Yes,3,male,3,2,15.9
Mr. Jovan Dimic,No,3,male,42,0,8.6625
Mr. Nils Martin Odahl,No,3,male,23,0,9.225
Mr. Fletcher Fellows Williams-Lambert,No,1,male,43,0,35
Mr. Tannous Elias,No,3,male,15,2,7.2292
Mr. Josef Arnold-Franchi,No,3,male,25,1,17.8
Mr. Wazli Yousif,No,3,male,23,0,7.225
Mr. Leo Peter Vanden Steen,No,3,male,28,0,9.5
Miss. Elsie Edith Bowerman,Yes,1,female,22,1,55
Miss. Annie Clemmer Funk,No,2,female,38,0,13
Miss. Mary McGovern,Yes,3,female,22,0,7.8792
Miss. Helen Mary Mockler,Yes,3,female,23,0,7.8792
Mr. Wilhelm Skoog,No,3,male,40,5,27.9
Mr. Sebastiano del Carlo,No,2,male,29,1,27.7208
Mrs. (Catherine David) Barbara,No,3,female,45,1,14.4542
Mr. Adola Asim,No,3,male,35,0,7.05
Mr. Thomas O'Brien,No,3,male,27,1,15.5
Mr. Mauritz Nils Martin Adahl,No,3,male,30,0,7.25
Mrs. Frank Manley (Anna Sophia Atkinson) Warren,Yes,1,female,60,1,75.25
Mrs. (Mantoura Boulos) Moussa,Yes,3,female,35,0,7.2292
Miss. Annie Jermyn,Yes,3,female,22,0,7.75
Mme. Leontine Pauline Aubart,Yes,1,female,24,0,69.3
Mr. George Achilles Harder,Yes,1,male,25,1,55.4417
Mr. Jakob Alfred Wiklund,No,3,male,18,1,6.4958
Mr. William Thomas Beavan,No,3,male,19,0,8.05
Mr. Sante Ringhini,No,1,male,22,0,135.6333
Miss. Stina Viola Palsson,No,3,female,3,4,21.075
Mrs. Edgar Joseph (Leila Saks) Meyer,Yes,1,female,25,1,82.1708
Miss. Aurora Adelia Landergren,Yes,3,female,22,0,7.25
Mr. Harry Elkins Widener,No,1,male,27,2,211.5
Mr. Tannous Betros,No,3,male,20,0,4.0125
Mr. Karl Gideon Gustafsson,No,3,male,19,0,7.775
Miss. Rosalie Bidois,Yes,1,female,42,0,227.525
Miss. Maria Nakid,Yes,3,female,1,2,15.7417
Mr. Juho Tikkanen,No,3,male,32,0,7.925
Mrs. Alexander Oskar (Mary Aline Towner) Holverson,Yes,1,female,35,1,52
Mr. Vasil Plotcharsky,No,3,male,27,0,7.8958
Mr. Charles Henry Davies,No,2,male,18,0,73.5
Master. Sidney Leonard Goodwin,No,3,male,1,7,46.9
Miss. Kate Buss,Yes,2,female,36,0,13
Mr. Matthew Sadlier,No,3,male,19,0,7.7292
Miss. Bertha Lehmann,Yes,2,female,17,0,12
Mr. William Ernest Carter,Yes,1,male,36,3,120
Mr. Carl Olof Jansson,Yes,3,male,21,0,7.7958
Mr. Johan Birger Gustafsson,No,3,male,28,2,7.925
Miss. Marjorie Newell,Yes,1,female,23,1,113.275
Mrs. Hjalmar (Agnes Charlotta Bengtsson) Sandstrom,Yes,3,female,24,2,16.7
Mr. Erik Johansson,No,3,male,22,0,7.7958
Miss. Elina Olsson,No,3,female,31,0,7.8542
Mr. Peter David McKane,No,2,male,46,0,26
Dr. Alfred Pain,No,2,male,23,0,10.5
Mrs. William H (Jessie L) Trout,Yes,2,female,28,0,12.65
Mr. Juha Niskanen,Yes,3,male,39,0,7.925
Mr. John Adams,No,3,male,26,0,8.05
Miss. Mari Aina Jussila,No,3,female,21,1,9.825
Mr. Pekka Pietari Hakkarainen,No,3,male,28,1,15.85
Miss. Marija Oreskovic,No,3,female,20,0,8.6625
Mr. Shadrach Gale,No,2,male,34,1,21
Mr. Carl/Charles Peter Widegren,No,3,male,51,0,7.75
Master. William Rowe Richards,Yes,2,male,3,2,18.75
Mr. Hans Martin Monsen Birkeland,No,3,male,21,0,7.775
Miss. Ida Lefebre,No,3,female,3,4,25.4667
Mr. Todor Sdycoff,No,3,male,42,0,7.8958
Mr. Henry Hart,No,3,male,27,0,6.8583
Miss. Daisy E Minahan,Yes,1,female,33,1,90
Mr. Alfred Fleming Cunningham,No,2,male,22,0,0
Mr. Johan Julian Sundman,Yes,3,male,44,0,7.925
Mrs. Thomas (Annie Louise Rowley) Meek,No,3,female,32,0,8.05
Mrs. James Vivian (Lulu Thorne Christian) Drew,Yes,2,female,34,2,32.5
Miss. Lyyli Karoliina Silven,Yes,2,female,18,2,13
Mr. William John Matthews,No,2,male,30,0,13
Miss. Catharina Van Impe,No,3,female,10,2,24.15
Mr. David Charters,No,3,male,21,0,7.7333
Mr. Leo Zimmerman,No,3,male,29,0,7.875
Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren) Danbom,No,3,female,28,2,14.4
Mr. Viktor Richard Rosblom,No,3,male,18,2,20.2125
Mr. Phillippe Wiseman,No,3,male,54,0,7.25
Mrs. Charles V (Ada Maria Winfield) Clarke,Yes,2,female,28,1,26
Miss. Kate Florence Phillips,Yes,2,female,19,0,26
Mr. James Flynn,No,3,male,28,0,7.75
Mr. Berk (Berk Trembisky) Pickard,Yes,3,male,32,0,8.05
Mr. Mauritz Hakan Bjornstrom-Steffansson,Yes,1,male,28,0,26.55
Mrs. Percival (Florence Kate White) Thorneycroft,Yes,3,female,33,1,16.1
Mrs. Charles Alexander (Alice Adelaide Slow) Louch,Yes,2,female,42,1,26
Mr. Nikolai Erland Kallio,No,3,male,17,0,7.125
Mr. William Baird Silvey,No,1,male,50,1,55.9
Miss. Lucile Polk Carter,Yes,1,female,14,3,120
Miss. Doolina Margaret Ford,No,3,female,21,4,34.375
Mrs. Sidney (Emily Hocking) Richards,Yes,2,female,24,5,18.75
Mr. Mark Fortune,No,1,male,64,5,263
Mr. Johan Henrik Johannesson Kvillner,No,2,male,31,0,10.5
Mrs. Benjamin (Esther Ada Bloomfield) Hart,Yes,2,female,45,2,26.25
Mr. Leon Hampe,No,3,male,20,0,9.5
Mr. Johan Emil Petterson,No,3,male,25,1,7.775
Ms. Encarnacion Reynaldo,Yes,2,female,28,0,13
Mr. Bernt Johannesen-Bratthammer,Yes,3,male,29,0,8.1125
Master. Washington Dodge,Yes,1,male,4,2,81.8583
Miss. Madeleine Violet Mellinger,Yes,2,female,13,1,19.5
Mr. Frederic Kimber Seward,Yes,1,male,34,0,26.55
Miss. Marie Catherine Baclini,Yes,3,female,5,3,19.2583
